view_date,ticker,ret_7h_pred,ret_7h_real,abs_error,direction_hit,context_hours_available,context_hours_used,max_context_hours,context_start,context_end
2025-09-29,ABEV3,-0.007216160651296377,-0.0017107853200286627,0.0055053753312677145,1,9131,9131,-1,2020-09-25 18:00:00,2025-09-29 13:00:00
2025-09-30,ABEV3,-0.014791927300393581,-0.023645564913749695,0.008853637613356113,1,9138,9138,-1,2020-09-25 18:00:00,2025-09-30 13:00:00
2025-10-01,ABEV3,-0.02283477410674095,-0.014301285147666931,0.00853348895907402,1,9145,9145,-1,2020-09-25 18:00:00,2025-10-01 13:00:00
2025-10-02,ABEV3,-0.028192399069666862,-0.0029319794848561287,0.025260419584810734,1,9152,9152,-1,2020-09-25 18:00:00,2025-10-02 13:00:00
2025-10-03,ABEV3,0.0004610134055837989,-0.0043176705949008465,0.004778684000484645,0,9159,9159,-1,2020-09-25 18:00:00,2025-10-03 13:00:00
2025-10-06,ABEV3,-0.01889728009700775,-0.005523345433175564,0.013373934663832188,1,9166,9166,-1,2020-09-25 18:00:00,2025-10-06 13:00:00
2025-10-07,ABEV3,-0.003825460560619831,-0.006876393221318722,0.0030509326606988907,1,9173,9173,-1,2020-09-25 18:00:00,2025-10-07 13:00:00
2025-10-08,ABEV3,-0.0015985576901584864,0.006908845156431198,0.008507402846589684,0,9180,9180,-1,2020-09-25 18:00:00,2025-10-08 13:00:00
2025-10-09,ABEV3,0.0024058902636170387,-0.008102702908217907,0.010508593171834946,0,9187,9187,-1,2020-09-25 18:00:00,2025-10-09 13:00:00
2025-10-10,ABEV3,0.0008705336367711425,0.006261047907173634,0.005390514270402491,1,9194,9194,-1,2020-09-25 18:00:00,2025-10-10 13:00:00
2025-10-13,ABEV3,0.002345792017877102,0.0028180768713355064,0.00047228485345840454,1,9201,9201,-1,2020-09-25 18:00:00,2025-10-13 13:00:00
2025-10-14,ABEV3,0.0026431260630488396,0.015351768583059311,0.012708642520010471,1,9208,9208,-1,2020-09-25 18:00:00,2025-10-14 13:00:00
2025-10-15,ABEV3,0.03161334618926048,-0.0009987126104533672,0.03261205879971385,0,9215,9215,-1,2020-09-25 18:00:00,2025-10-15 13:00:00
2025-10-16,ABEV3,-0.0007016274612396955,0.01314883679151535,0.013850464252755046,0,9222,9222,-1,2020-09-25 18:00:00,2025-10-16 13:00:00
2025-10-17,ABEV3,0.005125963129103184,0.013933400623500347,0.008807437494397163,1,9229,9229,-1,2020-09-25 18:00:00,2025-10-17 13:00:00
2025-10-20,ABEV3,0.03462726250290871,0.0023458523210138083,0.0322814101818949,1,9236,9236,-1,2020-09-25 18:00:00,2025-10-20 13:00:00
2025-10-21,ABEV3,0.005991168785840273,-0.012537882663309574,0.018529051449149847,0,9243,9243,-1,2020-09-25 18:00:00,2025-10-21 13:00:00
2025-10-22,ABEV3,0.01026124320924282,-0.007242436520755291,0.01750367972999811,0,9250,9250,-1,2020-09-25 18:00:00,2025-10-22 13:00:00
2025-10-23,ABEV3,-0.01882091909646988,-0.002168455859646201,0.016652463236823678,1,9257,9257,-1,2020-09-25 18:00:00,2025-10-23 13:00:00
2025-10-24,ABEV3,-0.02120058238506317,0.0005701628979295492,0.02177074528299272,0,9264,9264,-1,2020-09-25 18:00:00,2025-10-24 13:00:00
2025-10-27,ABEV3,-0.007550464943051338,0.004713631700724363,0.012264096643775702,0,9271,9271,-1,2020-09-25 18:00:00,2025-10-27 13:00:00
2025-10-28,ABEV3,-0.013075277209281921,-0.011145145632326603,0.0019301315769553185,1,9278,9278,-1,2020-09-25 18:00:00,2025-10-28 13:00:00
2025-10-29,ABEV3,-0.011120191775262356,0.0008075719815678895,0.011927763756830245,0,9285,9285,-1,2020-09-25 18:00:00,2025-10-29 13:00:00
2025-10-30,ABEV3,-0.02031647600233555,0.03762337937951088,0.05793985538184643,0,9292,9292,-1,2020-09-25 18:00:00,2025-10-30 13:00:00
2025-10-31,ABEV3,0.013910580426454544,0.021310560405254364,0.00739997997879982,1,9299,9299,-1,2020-09-25 18:00:00,2025-10-31 13:00:00
